author,title,abstract
Bartis Andrea ,Little Heaven - Confectionery Website," Little Heaven Confectionery was founded in 2020. Since then, we have been spoiling our sweet tooth customers in the city. From cakes to cheesecakes, every product is prepared with charm, passion, and elegance. However, we often face the stark reality that customers can't see all the products we create on our Instagram and Facebook pages.

The confectionery website called Little Heaven is the perfect solution to this problem. The goal of the site is to help customers be able to browse between all the different products we have created over the last 4 years. Users can easily access each product, which is accompanied by images, details, and the price.

Products are displayed in categories. This makes it easy for the user to search for any product, such as macarons. On top of that, they can also communicate and receive guidance from us. Users can get in touch with us both by phone and email. We also have a map included on the site so they can find our physical location much faster.

The site has a simple and easy-to-use interface. Our customers save time and can find the desired product much easier. On top of that, they don't have to call us to place an order."
Teutsch Mihaly Richard ,RouteTrack: tracking physical activity and transportation patterns," In today’s world, a healthy lifestyle and sustainable transport are receiving more and more attention. People strive to choose environmentally friendly and healthy modes of transportation such as cycling or walking. In addition, fuel consumption and the environmental impact of vehicles play an important role in their decisions. Mobile apps that help you plan routes, track distances and time, and analyze fuel consumption can be a big help in this situation.

These tools can help people choose healthier and more sustainable modes of transportation. The application I developed is a simple and effective tool for tracking and analyzing our traffic habits. The application allows us to record and analyze how much we drive, cycle or walk, and monitor fuel consumption and other important data. This helps us to make more conscious decisions in the field of transport and encourages us to choose healthier and more sustainable alternatives.

The aim of my thesis is to present in detail the application I developed, all its useful functions and advantages. First, I will review research and studies related to healthy lifestyles and transportation to provide a foundation for the topic. I will then present how the planning took place, and give a detailed description of the concrete implementation.

At the end of the thesis, I will summarize the achieved results and make suggestions for further development opportunities."
Balint Csongor Tivadar ,Examining authentication and authorisation in the context of the Exodus project," The Exodus Program Planner aims to create an easy-to-use web application to help the Exodus Discipleship Youth Ministry leadership in their planning. The application speeds up and visualizes the planning process, reducing the possibility of errors and improving the efficiency of the organization by simplifying administration. In this thesis, we will review the different steps of authentication and authorization to gain a more detailed picture of these security processes. By authentication and authorization, most of us think of login and registration as the first step in project implementation. In this context, it is very important to keep in mind the trust of the users and the efficiency and speed of the system, which will allow us to provide a better user experience. In this thesis, I will delve into authentication and authorization, highlight the complexity of the topic, and seek answers to questions such as whether it is necessary to use a JWT token, how passwords should be handled in terms of privacy and efficiency, and what constitutes a proper protocol. To achieve this, I will implement my own authentication and authorization implementation within the framework of a real project, which I will compare with already known processes such as SAML. The conclusions drawn in this thesis will provide answers to the above-mentioned questions, which will also underline the importance of the topic and its relevance in our everyday life."
Albert Toth Szilard ,Applying Convolutional Neural Networks for Brain Tumor Analysis in MRI Scans," Deep learning-based convolutional neural networks (CNNs) are among the best-performing networks in the field of computer vision. Their development can assist, for example, radiologists in identifying tumors or determining tumor types in brain MRI images. In my thesis, I compare three convolutional neural networks of varying complexity: VGG16, SimpleCNN, and ComplexCNN. I investigate which one performs the best on two datasets that were developed by others.

My measurements show that on the Kaggle dataset, VGG16 and ComplexCNN perform very similarly, achieving F1-scores of 0.99 and 1.0, respectively. SimpleCNN has an F1-score of 0.90. On the Figshare dataset, SimpleCNN achieves an F1-score of 0.92, while ComplexCNN achieves a score of 0.97.

My measurements contradict the developers of ComplexCNN, who claim in their study that ComplexCNN performs better on image classification tasks than VGG16 and all other networks. In addition to the research, a proof of concept (POC) software was also developed. This software allows users to test the selected network with a brain MRI image in a browser and visually illustrates the classification result."
Albert Henrietta ,Application of Database Technologies on Node.js: A Case Study of a Recipe Management Website," The project ""Application of Database Technologies on Node.js: A Case Study of a Recipe Management Website"" aimed to develop a web-based application that allows users to search for cake recipes and administrators to add, modify, and delete recipes. I will discuss various types of databases in detail, including SQLite, MySQL, PostgreSQL, MongoDB, and Oracle. The differences between databases and their applicability will also be discussed in detail.

The first chapter of this document provides an introduction to the world of web-based recipe management applications. This chapter highlights modern online recipe search habits and the growing demand for these types of applications.

The theoretical groundwork chapter introduces the technologies used in the project, such as Node.js, Express.js, EJS, and the role of HTML and CSS in frontend development. This chapter also discusses the JSON format and the different types of databases, examining their advantages and disadvantages.

The design and development chapter covers the objectives, requirements, and client-server architecture. I will describe the project’s folder structure and practical implementation of using databases, including SQLite, MongoDB, and JSON-based storage solutions.

The user documentation will provide a detailed description of the main functions of the website, including the home page, user pages, and administrator pages. This will facilitate the use and maintenance of the system.

In summary, the project provides a comprehensive overview of the application of modern web development technologies and methodologies, with a particular focus on the development of web applications for recipe management. The documentation discusses in detail the technical solutions and their practical application, thus helping developers to implement similar projects."
Demeter Evelin Delinke,LearnIT: The power of grading systems and feedbacks," Different technologies and the use of mobile phones are increasingly common nowadays. These modern tools have become an integral part of our everyday lives, making tasks such as communication, work, and study much easier. It's challenging for us to be apart from them, and it's almost impossible to get along without them. The new generation would struggle if they had to do without these tools since it's natural for them that all information is available at the click of a button. While this level of technology integration has its advantages, it also brings many disadvantages that we don't pay enough attention to.

In the past decade, education has undergone significant changes due to technological innovations. Traditional teaching methods have been replaced by modern, digital approaches, and students have adapted to a different learning environment. The introduction of digital teaching materials, online educational platforms, virtual classrooms, and electronic diaries has made the learning process more flexible and interactive. Additionally, it's important to digitize surveys to provide students with immediate feedback on their performance.

My colleague and I designed and implemented an application called LearnIT. This app facilitates independent learning through interactive quiz questions, which is a well-proven teaching method. It offers features such as immediate grading, an overview of answers, and a teacher platform that allows for the introduction of various fields of expertise in addition to programming languages. It's extremely important these days to receive feedback as soon as possible, regardless of any area. Positive feedback can motivate us, and negative feedback can lead us to what we need to improve.

In my thesis, I aimed to examine the effectiveness of the grading system used in the mobile application developed. I want to emphasize that LearnIT was tested in a real environment at Sapientia College of Informatics and Technical Sciences by students of this faculty."
Abram Szilveszter ,Cronotus - Web application for organizing sporting events," Physical activity and practicing various sports are an integral part of people’s everyday lives. In order to live a healthy life, we all choose different sports, in which we invest energy and time every day. Physical exercise has proven to have not only physical benefits but also significant effects on mental health. Furthermore, the people we do sports with can determine the quality of the time we spend exercising.

Choosing the right community for doing sports and everyday activities is a challenge that everyone faces, as it has a great impact on our lives. The purpose of this thesis is providing a platform that serves as a middleman for people who want to connect with others and combat the problem of not having company to exercise. Cronotus provides an online platform where people can easily overcome the problem of not having company to exercise. The application allows one to organize, search for sports events, ensuring that no one is left at home because they had no one to go out with. The project also aims to make certain events easy to follow, providing organizers with the opportunity to provide up-to-date information to athletes. This can help the community find the events that are most suitable for them."
Laczko Adorjan Richard ,AI learning to race,
Oniga Kriszta ,LearnIT: Quiz-Centered Interactive Teaching Toolkit," With the rise of digitalization, the use of mobile devices have become a key enabler for today's young people, and there is a growing demand for interactive learning tools. The aim of my thesis is to present a quiz-based learning application that we have developed, which tries to put the time spent on the phone to good use. The main goal of the LearnIT application is to learn concepts related to different programming languages through interactive elements. Particular attention is paid to interactive quizzes that allow users to actively participate in the learning process. The application also has a teaching interface that allows the creation of new courses and questions. This allows teachers to personalize the course material and adapt it to the needs of the students, making learning even more effective.

After the implementation of the application, I was able to carry out an experiment consisting of two parts: a test of the application I developed and a follow-up survey. The testing of the application was carried out in a real environment among the students of the Faculty of Târgu Mures, Faculty of Sapientia University of Transylvania. Using the application, the participants filled in different quizzes for several weeks in parallel with the educational material, and their answers were recorded using a scoring system defined by me. After testing, I processed a total of 25 students’ responses, almost 750 answers.

The answers and scores thus collected were examined. In contrast, the poll was designed to collect the subjective opinions of the participants. In this case, a total of 51 responses were processed. The results show that users had a positive experience, as reflected in the data and scores collected during the use of the application, as well as in the opinions expressed in the questionnaire."
Koncz Hunor ,BudgetHub - Real estate search platform," The real estate market is a rapidly changing and increasingly diverse sector that affects most people directly or indirectly. The buying process can be challenging and time-consuming, especially with the wide range of real estate advertising sites, platforms, offices, and individuals. The varying prices, the quality of the properties advertised for sale, and the differences between them often divide the attention and resources of interested customers.

The aim of my thesis is to create a real estate search web application that provides users with the newest and most up-to-date properties on the market. This is achieved by using a method that collects and processes the necessary information from several existing online advertising platforms. For this, I use a specially developed data collection application.

Additionally, it offers an innovative and intelligent approach to the property buying process. With the help of the application, users can browse properties easily and efficiently."
