author,title,abstract
Gergely Zsolt,Uniscout: Mobile app for organizing Doors Open Days," The topic of my thesis is the design and implementatio n of a system that makes the management  of events of university open days easier and more transparent for both the organizers and participants.   University open days are an annual event aimed at promoting the university among high school  students and provid ing insight into its operation for those interested. This is an extremely important  process because an outsider can really only get a deeper look into university life here before deciding  to apply. There are several tasks involved in organizing an event, s uch as managing information  related to the event and participants, which are slow and cumbersome to solve with traditional  methods, hence the need for a system that makes the whole process more effortless and faster.   The aim of my thesis is to create a sys tem that offers solutions to the aforementioned problems,  using the advantages of two modern frameworks. My system makes it more accessible to transfer  information related to events, save participant related data, and create statistics from the existing  dataset for the organizers.   The system consists of three parts. I implemented the mobile application using the Flutter  framework, which must be installed on users' phones and is platform "
Denes Lorand,Protein classification with Markov Clustering," A significant proportion of biological phenomena can be traced back to genetics, which is based on gene sequences. Decoding these gene sequences represents a substantial challenge in the field of biological sciences. According to a bold estimate, this task could potentially engage the scientific community for the next five hundred years.  The aim of my thesis is to implement a simple gene sequence classification algorithm and integrate this algorithm into a software, equipped with a graphical user interface. This may represent a small step toward the solution of decoding gene sequences.  This implemented algorithm performs classification based on similarity data from gene sequence pairs within a larger sequence dataset. This methodology allows us to  simultaneously process large amount of protein sequences and grouping these sequences based on their similarity. This is made possible by working with sparse matrices which eliminates unnecessary operations, such as addition and multiplication with zero. At the same time, this method has significant memory efficiency, because we only store the none zero values.  This method treats the input sequence dataset as a graph. Each protein is assigned a node within the graph, and the initial edges between the nodes are received as input data from the SCOP95 database. These values were created using the BLAST algorithm and they’re form a sparse matrix. This algorithm is a modified form of Markov clustering, in which the two main operations, inflation and expansion, work against each other. Connected subgraphs remaining in the equilibrium state, defining the final result of the clustering. The main parameter of the algorithm is the inflation rate, which determines how much the algorithm separates groups from each other.  The graphical user interface provides the opportunity to perform the classification on the 11,944"
Katona Andrea Izabella,Use of voice control for mobile robots ,"People have always been interested in robots. We often meet robots, not only in science,
but also in various areas of life. Although we used to think of human-robot interaction as science
fiction (e.g. R2D2 from the movie Star Wars), nowadays it has become more and more a reality.
Since people's natural communication is through speech, it is not difficult to imagine
control through speech. Voice control is an exciting topic that allows robots to be controlled by
voice commands. There are different methods for this, however, research is still ongoing in the
field. This branch of science can lead to many exciting realizations and applications in all areas of
life (science, entertainment, industry, etc.).
The purpose of my work is to present the advantages and potential of voice control in
controlling mobile robots. To this end, I will present an implementation that allows controlling a
robot in a simulation environment as well as a physical robot with voice commands. Further on,
you can read about the detailed implementation, the technologies used, as well as the results of the
measurements, conclusions and further development possibilities."
Kormoci Csaba,Decentralized stock exchange," As cryptocurrencies have become more and more widespread these days, cryptocurrency  sites and applications have become more popular. It is vital to have tools and platforms that  allow trading cryptocurrencies. In the crypto world, these are the decentralised exchanges. These  are platforms or applications that allow cryptocurrencies to be exchanged directly between each  other without the need for an intermediary. In addition, decentralised exchanges provide a way to  supply liquidity to the system. At the same time, they also allow liquidity to be withdrawn.  Based on this information, the aim of my thesis is to develop a mobile application that  allows users to exchange cryptocurrencies on both Android and iOS. Note that we do not allow  users to buy cryptocurrencies, only to exchange them.   In creating my thesis, I needed to learn about the technologies, different principles and  solutions that make a decentralised exchange possible. These included different blockchain  technologies, smart contracts and the main functionalities of decentralised exchanges."
Kristóf István Levente,Visualizing Recursivity: the step method," Nowadays, IT has become  one of the fastest growing industries. We often hear about new  technologies every month or even every week. For recent graduates from academic institutions to  succeed in such a dynamic and  fast growing environment, it is essential that they have mastered  the basics of programming during their studies. One of the basic concepts that can give  university students a lot of headaches is recursion.   The aim of this paper and the accompanying visualisation software is to serve as an educational  tool for those who wish to gain a deeper understanding of the phenomenon of recursion. The user  is given the opportunity to visualise different recursive functions using the software. Unlike the  usual visualization tools, this application uses the method of stairs to visuali ze the depth of  recursion.    The presented software can be useful not only for students who want to learn, but also for  all those who want to explore the phenomenon of recursion by observing interesting patterns in  visualizations."
Ambrus Barna,Smart roller indicator," This paper describes in detail a system and its architecture for managing direction change and  braking signals on scooters and bicycle s, using a sensor with an accelerometer and gyroscope on  the back of the hand. The project aims to provide a solution for direction signals on the crank  without removing the hand from the handlebars, thus avoiding the resulting accidents. The user is  able to indicate a change of direction by gestures such as turning the hand sideways, so that it is  not necessary to take the hand completely off the steering wheel, thus maintaining the balance of  the vehicle. Brake signals are automatic as a result of acceler ation sensing. The system uses two  microcontrollers (ESP32 and ESP8266), one of which processes the sensor data, while the other  runs a web server and lights the corresponding LEDs. The web server is responsible for the  communication between the microcontr ollers and also runs a web page that acts as a user interface.  On the web page, active signals such as turn signals and brake signals are displayed and can be  switched on and off. Communication between the different components is wireless using WiFi  techno logy."
Bacs Bernat,Design and development of a smart home control system," This thesis presents the implementation of a smart home control system. The system mainly  performs home automation tasks such as temperature control, watering of plants and automatic  movement of shutter , thus facilitating the user's daily life. Nowadays, IoT devices are playing an  increasingly important role for people, and we can't imagine our lives without them. Since most   people have an internet connection at home, building such an IoT system is easier, cheaper and  more efficient because there is no need for wires to communicate between devices.    The system I developed and built consists of a central computer with a touch screen display  connected to it, where you can follow and intervene in the automation processes, you can see  statistics about the temperature in the room, for example. Several sensors are connected to this  central part via Bluetooth or MQTT communication pr otocols, which provide data and perform  the automation tasks. In my thesis I document the design and construction of this system in detail,  illustrating each part with diagrams."
Bako Jozsef,Design and implementation of a hot object tracking robot," Measuring temperature has always played an important role in human life due to the curiosity of it’s nature. With the advance of the world and the temperatures measuring technologies, this task has become a trivial problem, regardless of what we measure the temperature of.  The scope of this project is to create a heat follower robot and a mobile application for controlling it, which identifies the temperature extremes in a closed area and approaches it, as well. As for the app, my aim is to establish a Bluetooth connection between this and the robot and show a picture of it’s view to the user. Also, I want it to make manual control possible."
Bálint Adolf,Documenting backgammon from video files,"The topic of my paper is documenting and tracking the game of backgammon game in
which I dealt with game programming, image processing, and real-time game tracking of game
progres. Backgammon and image processing cover two areas of particular interest to me.. The
Romanian Backgammon Federation organizes various national and international competitions,
where tracking and automatic arbitration are of particular interest.

The Python programming language allows for the creation of virtual versions of backgammon,
which gives the game a new dimension by interactively playing it on the computer. The goal of
game programming was to enable two players to compete against each other on the computer
and record the game for later replay.

OpenCV (Open Source Computer Vision Library) is a popular library used in image processing.
With its help, the computer can recognize shapes and process images, allowing for capturing the
sequential playing positions. My goal in the field of image processing, was to extract still frames
from a video and identify the position of pieces, thus tracking the game's progress.

Therefore, my objective was to create an application by combining Python and OpenCV that
automatically evaluates the board game.The software to be made must recognize the positions of
pieces and tracks the players' moves, allowing for virtual gameplay between two individuals."
Bocsárdi András,CLASSIFICATION OF BRAIN TUMORS WITH CONVOLUTIONAL NEURAL NETWORKS,"The topic of this thesis is the classification of brain tumours using convolutional
neural networks. In the first half of the paper, I will describe neural networks based
on the literature, starting from simple M-P neurons to convolutional neural
networks, covering their structure and their training. In the second half of the
paper, I present three models I developed that classified brain tumours into four
groups with an accuracy of over 85%. The first model I implemented was a simple
convolutional neural network. With the second model I achieved only moderate
performance improvements by changing the architecture and preventing
overfitting. For both models I tuned the hyperparameters. The best performing
model was the third one, implemented with transfer learning and using VGG16 as
the base model. This model achieved the best accuracy (96%). In developing the
three models, I used methods to continuously improve the performance of neural
networks by understanding the different mechanisms of action. The model I
developed could form the basis for an application that provides practicing
radiologists with rapid preclassification in seconds, making their job easier."
Csiki Krisztina,INTERACTIVE SENSOR SYSTEM,"Nowadays, using sensors has become so popular that we do not even notice how easy it is
for us to measure the world around us. Today we have the possibility and the technology to
measure the physical, chemical and the biological characteristics of the world around us.
The goal of my thesis was to build a scalable system for sensors, created with the help of
an Arduino, which helps in the integration of new sensors in the system for users, who may face
a challenge when integrating a new sensor in an environment with Arduino and microcontrollers.
At the beginning I had to create a text-based protocol, written with ASCII code, which
provides for the user an interface for dynamic configuration of the sensors and for the collective
data forwarding.
Several different sensors have been integrated into the sensor system, with which it is
possible to measure different physical quantities and monitor changes in values, but also an
interface for the collected data.
For the better understanding of the real-time data collected by the sensors with the help of
the Arduino I have also created a desktop application, , through which the real-time data
measured by the sensors connected to the Arduino can be displayed, and it is also possible to
save and review the data. The communication between the application and the sensors is realized
by serial communication.
I designed the application to be used for laboratory purposes."
Czimbalmos Akos,MODELING WIRELESS SENSOR NETWORKS,"The purpose of the document Wireless Sensor Networks Modelling is to demonstrate the
use of routing protocols in the design and operation of networks. Routing protocols play a key
role in the selection and routing of data packets to reach their destination through the network.
Routing protocols are based on different algorithms, which have different characteristics and
operating principles. The aim of this documentation is to create a model to visualise the
application of routing protocols, the propagation of packets and the evaluation of data. It also
provides a means to compare the performance and efficiency of different routing protocols.
Routing protocols are critical to the operation of wireless networks. A thorough understanding of
the algorithms and their implementations will allow for a better understanding of the operation of
networks, the detection of potential failures, and efficient planning, optimisation and operation.
The documentation helps to understand the operation, advantages and limitations of different
routing protocols, and helps to simulate networks by providing detailed code for simulations
written in the OMNeT++ framework. Three routing protocols are described, a data-centric one
(Gossiping), a hierarchical one (LEACH) and a location-based one (GAF), their comparison,
conclusions drawn and the performance and efficiency of the routing protocols under study."
