author,title,abstract
Iuhos Imola ,OpenGL application for smartphone," The topic of my thesis is to create a smartphone application based on OpenGL. Open GL (Open Graphics Library) is a partially developed standard that covers an API allowing manage graphics cards and program two- and three-dimensional graphics through a simple, standard interface. OpenGL is a tool programming enthusiasts enjoy using because it allows almost direct control of the graphics card, three-dimensional shapes can be easily drawn, and rendering methods can be controlled.

In today’s world, people are increasingly visual; their attention is drawn to what pleases the eye, what is interesting, exciting, new, modern. We all want to gather new experiences, enrich ourselves with new knowledge and use modern technology. That's exactly why I chose OpenGL, because I wanted to implement an application that would give children a fun opportunity to assess their Bible knowledge. In addition to deepening knowledge, an important goal was to provide children with a play experience. Since children are very visual, we have found virtual reality to be the most ideal way to capture the interest of 7-12 year olds and deepen and expand their Bible knowledge. OpenGL gave me a simple, nice, and quickly implementable help to achieve my goal.

In this dissertation, I will briefly introduce the Unity programming platform, the Google Cardboard virtual reality program, and the application I created."
Hegyi Benjamin ,Using the Monte Carlo algorithm in the game Battleship," The Monte Carlo algorithm is a popular computational technique used in many fields, such as physics, finance, and computer science. One of the prominent applications of the Monte Carlo algorithm is in game-playing artificial intelligence. Monte Carlo algorithms are useful in AI games because they can simulate and evaluate different moves, allowing the AI to select the best move based on the results of the simulation. In this paper, we investigate the use of the Monte Carlo algorithm in the game ""Battleship"" and its strengths and weaknesses."
Koncz Krisztian ,Musical hide and seek," Summary:

The theme of my bachelor's thesis is the development of a web application. This application helps users get to know old and new acquaintances through their musical taste. The musical taste of a person reveals a lot about their personality. If we know someone's musical taste, it's easier to start a conversation which is useful in the early stages of a friendship. Such an application, along with get-to-know-you games, is a good icebreaker because it can be funny to get to know someone through music. Furthermore, we can discover new musical genres or songs. The online interface enables us to use the application even when we are not in the same location. We can get closer to our colleagues during online classes or work."
Bodor Benjamin ,The magic of logic: steps to make puzzle games," Elements that contribute to the user experience and motivation of games include:

1. Puzzle games
2. Animations
3. Visualizations
4. Interactions
5. Character design itself

These important components make the game aesthetically appealing and ensure active participation and enjoyment for the player.

1. Puzzle games are exciting challenges that require creative thinking and problem-solving skills to solve. The varied tasks encourage the player to take logical steps, combining and matching different elements or objects to reach a solution.
2. Animations and visualizations add dynamism and liveliness to the game. These movements, transitions, and spectacular effects make the game world more realistic and immersive, capturing the player’s attention. Animations help keep characters and their environment in motion, adding to the interactivity and enjoyment of the game.
3. Interaction is one of the most important elements of the game experience as it allows the player to actively participate in the game world. The player’s actions and choices affect the gameplay and story. Interaction gives the player the opportunity to control the character, manipulate the environment, and explore the possibilities of the game.
4. The pixel art style gives the game a unique and easily recognizable visual identity. The appearance and attributes of characters influence emotional connection and identification of players with them. Pixel art provides a unique aesthetic experience that evokes the atmosphere of retro games and brings back memories of the past.
5. These elements combine to make the game enjoyable and motivating. Interaction, interesting puzzle games, animations, visualizations, and good character design play a key role in enhancing the user experience and motivating players.
6. It is important to emphasize that the lack of these elements, closely linked to interactivity and interest, can reduce the attractiveness of the game and do not motivate the user to continue playing."
Portik Andrea ,CONNECTIVE: Application to connect mentor and mentee," The topic of my thesis is a mobile application that connects mentors and mentees. Nowadays, we want to reach everything easily and quickly both in our private life and at work, and smartphones also contribute to this, as they greatly facilitate our everyday tasks. But in a new environment or place, in order to be able to carry out the work smoothly, it is good if someone shows us what we actually have to do. We can perform more effectively if we have concrete goals and their corresponding specifications and priorities.

There are two types of users in the project: mentors and mentees. They are connected in an Android mobile application. The application allows mentors to create tasks for a mentee after logging in. In addition, mentors have the option to add new members to the group. And the mentees are informed about the activities related to them after logging into the application.

Just like the mentors, mentees also have the opportunity to modify and view the tasks. The goal of the project is not for the mentor to be able to monitor the mentee, but only guidance is the main principle. The developed application enables users to display and modify their own personal data. All this in order to establish more connections between the mentor and the mentee, thus facilitating more efficient work."
Szabo Zoltan ,Genetic algorithms in pattern recognition," Nowadays, pattern recognition programs play an increasingly important role. Pattern recognition programs can be used in everyday life, such as in the case of snapchat filters. They can also be used in agriculture, for example, a drone program that examines the health of plants.

Nowadays, neural networks are used in pattern recognition. However, they have several disadvantages. These problems include high storage usage and teaching costs.

In my thesis, I present the use of genetic algorithms in pattern recognition. I begin by explaining the concept of the genetic algorithm and providing an example of how it works. Then, I present the genetic algorithm I use, which I built around attribute chains to create a pattern recognition program.

In my thesis, I compare a polygon in an input image with a certain predefined set of polygons and determine which polygon is included in the input polygon. I perform this search using a genetic algorithm, examining the fitness value over several generations. The member with the best value then becomes the solution.

I obtain members for each generation by crossing and mutating the members of the previous generation and using elitism on the previous generation."
Incze Zsolt Tamas ,Kitchn: A Recipe Application for Modern Food Enthusiasts," The topic of my thesis is to develop a comprehensive application focusing on food recipes, cooking, and gastronomy. As we know, cooking is a subject that everyone has a direct or indirect connection to, so the target audience is very broad. The purpose of the application is to provide easy access to the best and most diverse recipes, as well as to inspire users to explore new dishes.

The application’s intuitive user interface and wide range of features allow users to easily browse, search, and save recipes, as well as share their own culinary creations and opinions with the rest of the community.

I will present this cross-platform technology in detail, discussing its advantages, disadvantages, and important considerations during its usage. The chosen technology is the Flutter framework, a relatively new player in the market that emphasizes cost and time efficiency. This is complemented by Firebase in the background, which provides various services such as a database and authentication processes.

In my thesis, I will present this technology in detail, discussing its advantages, disadvantages, and important considerations during its usage. The chosen technology is the Flutter framework, a relatively new player in the market that emphasizes cost and time efficiency. This is complemented by Firebase in the background, which provides various services such as a database and authentication processes.

This application is currently runnable on devices using iOS and Android systems, as well as the admin interface on any web browser. It utilizes the same codebase and dependencies. The application may have different appearances on different platforms, making use of native elements, but the average user won’t notice any difference compared to an application developed in a native environment.

Finally, conclusions will be drawn regarding when it is advisable to use this technology and when it is not, as well as the advantages and disadvantages that users may derive from using the application."
Siko Mark Levente ,MuresTracker - City issue tracker," The topic of my paper is ""MuresTracker: A Software That Enables City Residents to Report Issues and Facilitates Efficient Management of These Problems by City Authorities""

City administrations face numerous challenges on a daily basis that impact the quality of life for residents. Potholes, malfunctioning streetlights, crime, safety concerns, and similar issues are present in the daily lives of residents, and their dissatisfaction is not always expressed in the most appropriate places. Therefore, cities require effective tools for tracking and addressing problems. MuresTracker ""addresses this problem"" by providing a platform for residents to report issues and track their status, while also enabling city officials to confront and resolve these problems.

The website serves as a valuable tool for improving communication, increasing civic engagement, monitoring and managing problems, and promoting more efficient urban services. It offers a wide range of user-friendly reporting and tracking capabilities and can have a positive impact on residents’ lives and the efficiency of cities.

The application allows registered regular users to add and view problems reported by others in the city, including details, location, and who and when they were resolved. Users with administrator roles are responsible for directing problems of a certain category to the appropriate department. Additionally, they have insight into user information and can modify or deactivate users in case of inappropriate behavior."
Balazs Endre ,The interactive adventures of UnitTiby: The role of algorithmic games in education," The topic of my paper is the role of algorithmic games in education. Nowadays, students are growing up alongside digital technologies, using smartphones, playing computer games, and actively participating in the online world. Compared to previous decades, forms of entertainment have undergone significant changes, greatly influencing modern education. Teachers need to employ new methods and techniques to sustain interest and stimulate further learning. Gamification, or the use of game elements, is a very important component of modern education and can provide an effective solution to changing teaching needs. I conducted a research study among students in Transylvania, where I gathered their opinions on the usefulness of various game elements in relation to learning. These game elements are all associated with gamification. Based on my own experiences, educational games can greatly assist the learning process. Their greatest advantage is that they allow learning useful things in a highly enjoyable and playful manner. My goal was to create an educational game that incorporates the game elements found to be advantageous in my research.

The purpose of the game I developed is to help users grasp the basics of the C programming language. The protagonist of the game is a university student named UniTiby, whom the user can control. Before each task, the player receives the necessary information to solve the given level. Each lesson is accompanied by a maze. The user is presented with questions and tasks that require decision-making, but by utilizing the new information, they can navigate through the maze.

The main objective of the educational game is to avoid monotony, which is why it features highly diverse environments. Environmental elements also appear randomly."
Fekete Daniel ,Scientific journal rankings according to categories," In today's rapidly evolving digital landscape, the need to stay connected and informed has become more crucial than ever. The accessibility and usability of websites play a significant role in facilitating efficient information retrieval and knowledge sharing. Therefore, the primary focus of this thesis is to investigate the creation of a user-friendly and intuitive website. This website aims to provide extensive rankings of academic journals using the SCimago Journal Rank (SJR) database and its associated metrics. We can edit scientific journals, or more precisely, we can add important information that is not included in the database used, such as the academic year in which it was published, or the title of the scientific article. The search results can be saved as PDF files for convenient access later on. Moreover, visitors also have the opportunity to contribute to the website's database by adding new journals, thereby helping to expand the range of available information.

To gain access to the data on the website, visitors are requested to register, enabling them to perform searches and contribute new information. The primary objective of this thesis is to present a step-by-step guide to building a website that is easily accessible to users worldwide, ensuring a seamless browsing experience. Throughout this research, I will explore a variety of methodologies and techniques implemented during the development phase, offering insights into the underlying technologies that were utilized. Furthermore, this thesis aims to shed light on the evaluation criteria employed to establish the journal ranking system within the website. By analyzing and processing relevant data, the ranking methodology will be delineated, providing users with a reliable and informed basis for their academic pursuits.

Next, I will proceed to outline the assessment standards employed in the construction of the website's knowledge base, specifically pertaining to the ranking of scientific journals. Subsequently, I will examine the website's design and functionality from both the user's and developer's perspectives. Lastly, I will thoroughly investigate the measures implemented to ensure the website's accessibility for all users, regardless of their abilities."
Fodor Lehel ,Visualization of geometric equilibrium points," In a two-person game, the purpose of both players is obviously to win by following the rules and regulations. Therefore, each player resorts to the strategy that results in their greatest benefit. However, there are games where if one player applies their strategy, it also benefits the other, which is unfavorable for the first mentioned player. For this reason, both players must determine the relative frequency of using their available strategies to maximize their chances for victory. This problem is answered by the Nash equilibrium point, named after the American mathematician, John Forbes Nash. In two-person games, the set of strategy in which neither player can increase their profit by changing their strategy, if their opponent doesn't change their strategy, is called the Nash equilibrium point.

In my thesis, the main purpose is to determine the equilibrium point mentioned above, both mathematically and from a programming perspective, using the prisoner's dilemma problem. Additionally, I will cover the following topics: the introduction of basic game theory concepts, the prisoner's dilemma, the presentation of an applied algorithm, and the interpretation of the result.

To compute this equilibrium point, I apply the Lemke-Howson algorithm. For visualization of the obtained equilibrium point, I use Python as my programming language. The goals also include introducing the reader to the world of game theory and helping users with average mathematical and information technology skills understand the Nash equilibrium."
Pallfy Roland ,Decentralized messaging and data sharing," Decentralized messaging and data sharing have emerged as promising approaches to address the challenges and limitations of centralized systems in the digital era. This paper explores the concept of decentralization in the context of messaging and data sharing, highlighting its advantages and potential implications.

The traditional approach to messaging and data sharing relies heavily on centralized platforms, where users’ information is stored and controlled by a single entity. However, this centralized model has inherent limitations, including privacy concerns, data breaches, censorship, and dependency on a single point of failure. These issues have led to growing interest in decentralized alternatives.

Decentralized messaging systems utilize peer-to-peer networks and distributed protocols to enable direct communication between users, eliminating the need for intermediaries. This approach ensures greater privacy, as users have more control over their data and can communicate directly without relying on a central server. Additionally, decentralized messaging systems can resist censorship attempts, as there is no central authority to regulate or control the flow of information.

Similarly, decentralized data sharing aims to democratize the access and control of data. By leveraging blockchain technology and distributed storage systems, users can securely share and store data without relying on centralized entities. This enables greater transparency, data integrity, and resilience against attacks or data loss. Moreover, decentralized data sharing incentivizes collaboration and innovation, as participants can contribute and access data in a trustless and permissionless environment.

While decentralized messaging and data sharing offer numerous benefits, they also present challenges. The scalability of decentralized systems, the verification of data authenticity, and the incentivization of participants are among the key areas that require further research and development. Additionally, legal and regulatory frameworks need to adapt to accommodate the decentralized nature of these systems, ensuring both privacy protection and accountability.

The aim of this thesis is to present an application based on a decentralised system and to introduce the reader to the technologies needed to build it."
